"State_name","Year","PC_no","PC_name","PC_type","Electors","ga_no","poll_no","Polling_Date","Counting_Date","Result_Date"
"ANDHRA_PRADESH",1962,1,"SRIKAKULAM","GEN",443080,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,2,"PARVATHIPURAM","ST",420816,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,3,"CHEEPURUPALLI","GEN",410167,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,4,"VISAKHAPATNAM","GEN",397925,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,5,"ANAKAPALLI","GEN",427862,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,6,"NARSIPATNAM","ST",407319,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,7,"RAJAHMUNDRY","ST",450040,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,8,"KAKINADA","GEN",454089,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,9,"AMALAPRUAM","SC",478247,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,10,"NARASAPUR","GEN",478392,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,11,"ELURU","GEN",470098,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,12,"GUDIVADA","GEN",493266,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,13,"VIJAYWADA","GEN",449300,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,14,"MASULIPATNAM","GEN",475481,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,15,"TENALI","GEN",479831,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,16,"GUNTUR","GEN",516008,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,17,"ONGOLE","GEN",513758,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,18,"MARKAPUR","GEN",474652,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,19,"KAVALI","GEN",478746,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,20,"NELLORE","SC",480699,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,21,"TIRUPATHI","SC",383042,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,22,"CHITTOR","GEN",437788,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,23,"RAJAMPET","GEN",442554,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,24,"CUDDAPAH","GEN",497180,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,25,"ANANTPUR","GEN",467475,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,26,"HINDUPUR","GEN",420888,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,27,"ADONI","GEN",419077,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,28,"KURNOOL","GEN",463818,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,29,"GADWAL","GEN",447475,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,30,"MAHBUBNAGAR","SC",413872,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,31,"HYDRABAD","GEN",315412,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,32,"SECUNDERABAD","GEN",380287,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,33,"VICARABAD","GEN",419557,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,34,"MEDAK","GEN",414481,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,35,"NIZAMABAD","GEN",444598,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,36,"ADILABAD","GEN",404283,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,37,"KARIMNAGAR","GEN",437969,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,38,"PADAPALLI","SC",412742,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,39,"WARRANGAL","GEN",408061,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,40,"MAHBUBABAD","GEN",426441,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,41,"KHAMMAM","GEN",450611,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,42,"NALGONDA","GEN",446641,3,0,NA,NA,NA
"ANDHRA_PRADESH",1962,43,"MIRYALGUDA","SC",453828,3,0,NA,NA,NA
"ASSAM",1962,1,"CACHAR","GEN",383045,3,0,NA,NA,NA
"ASSAM",1962,2,"KARIMGANJ","SC",397814,3,0,NA,NA,NA
"ASSAM",1962,3,"AUTONOMOUS DISTRICTS","ST",320132,3,0,NA,NA,NA
"ASSAM",1962,4,"DHUBRI","GEN",391360,3,0,NA,NA,NA
"ASSAM",1962,5,"GOALPARA","ST",429220,3,0,NA,NA,NA
"ASSAM",1962,6,"GAUHATI","GEN",467175,3,0,NA,NA,NA
"ASSAM",1962,7,"BARPETA","GEN",450184,3,0,NA,NA,NA
"ASSAM",1962,8,"DARRANG","GEN",378754,3,0,NA,NA,NA
"ASSAM",1962,9,"NOWGONG","GEN",471350,3,0,NA,NA,NA
"ASSAM",1962,10,"JORHAT","GEN",404220,3,0,NA,NA,NA
"ASSAM",1962,11,"SIBSAGAR","GEN",458998,3,0,NA,NA,NA
"ASSAM",1962,12,"DIBRUGARH","GEN",390564,3,0,NA,NA,NA
"BIHAR",1962,1,"BAGAHA","GEN",385005,3,0,NA,NA,NA
"BIHAR",1962,2,"MOTIHARI","SC",379579,3,0,NA,NA,NA
"BIHAR",1962,3,"BETTIAH","SC",380043,3,0,NA,NA,NA
"BIHAR",1962,4,"GOPALGANJ","GEN",422101,3,0,NA,NA,NA
"BIHAR",1962,5,"SIWAN","GEN",424260,3,0,NA,NA,NA
"BIHAR",1962,6,"CHAPRA","GEN",459344,3,0,NA,NA,NA
"BIHAR",1962,7,"MAHARAJGANJ","GEN",401654,3,0,NA,NA,NA
"BIHAR",1962,8,"KESARIA","GEN",389402,3,0,NA,NA,NA
"BIHAR",1962,9,"HAJIPUR","GEN",421299,3,0,NA,NA,NA
"BIHAR",1962,10,"MAHUA","SC",447690,3,0,NA,NA,NA
"BIHAR",1962,11,"MUZAFFARPUR","GEN",464546,3,0,NA,NA,NA
"BIHAR",1962,12,"SITAMARHI","GEN",455960,3,0,NA,NA,NA
"BIHAR",1962,13,"PUPRI","GEN",415653,3,0,NA,NA,NA
"BIHAR",1962,14,"JAINAGAR","GEN",471460,3,0,NA,NA,NA
"BIHAR",1962,15,"MADHUBANI","GEN",427660,3,0,NA,NA,NA
"BIHAR",1962,16,"SAMASTIPUR","GEN",383747,3,0,NA,NA,NA
"BIHAR",1962,17,"DARBHANGA","GEN",487848,3,0,NA,NA,NA
"BIHAR",1962,18,"ROSERA","SC",431956,3,0,NA,NA,NA
"BIHAR",1962,19,"SAHARSA","GEN",426782,3,0,NA,NA,NA
"BIHAR",1962,20,"SONBARSA","SC",402111,3,0,NA,NA,NA
"BIHAR",1962,21,"KISHANGANJ","GEN",486140,3,0,NA,NA,NA
"BIHAR",1962,22,"PURNEA","GEN",503100,3,0,NA,NA,NA
"BIHAR",1962,23,"KATIHAR","GEN",451056,3,0,NA,NA,NA
"BIHAR",1962,24,"RAJMAHAL","SC",389321,3,0,NA,NA,NA
"BIHAR",1962,25,"GODDA","GEN",395448,3,0,NA,NA,NA
"BIHAR",1962,26,"DUMKA","ST",399218,3,0,NA,NA,NA
"BIHAR",1962,27,"BANKA","GEN",412008,3,0,NA,NA,NA
"BIHAR",1962,28,"BHAGALPUR","GEN",436725,3,0,NA,NA,NA
"BIHAR",1962,29,"MONGHYR","GEN",374823,3,0,NA,NA,NA
"BIHAR",1962,30,"JAMUI","SC",408420,3,0,NA,NA,NA
"BIHAR",1962,31,"KHAGARIA","GEN",431546,3,0,NA,NA,NA
"BIHAR",1962,32,"BEGUSARAI","GEN",404740,3,0,NA,NA,NA
"BIHAR",1962,33,"NALANDA","GEN",453708,3,0,NA,NA,NA
"BIHAR",1962,34,"BARH","GEN",377162,3,0,NA,NA,NA
"BIHAR",1962,35,"PATNA","GEN",400456,3,0,NA,NA,NA
"BIHAR",1962,36,"SHAHABAD","GEN",415615,3,0,NA,NA,NA
"BIHAR",1962,37,"BUXAR","GEN",453468,3,0,NA,NA,NA
"BIHAR",1962,38,"BIKRAMGANJ","GEN",423247,3,0,NA,NA,NA
"BIHAR",1962,39,"SASARAM","SC",416753,3,0,NA,NA,NA
"BIHAR",1962,40,"AURANGABAD","GEN",409761,3,0,NA,NA,NA
"BIHAR",1962,41,"JAHANABAD","GEN",436653,3,0,NA,NA,NA
"BIHAR",1962,42,"NAWADA","SC",420933,3,0,NA,NA,NA
"BIHAR",1962,43,"GAYA","GEN",337429,3,0,NA,NA,NA
"BIHAR",1962,44,"CHATRA","GEN",379753,3,0,NA,NA,NA
"BIHAR",1962,45,"GIRIDIH","GEN",374463,3,0,NA,NA,NA
"BIHAR",1962,46,"DHANBAD","GEN",451555,3,0,NA,NA,NA
"BIHAR",1962,47,"HAZARI BAGH","GEN",395311,3,0,NA,NA,NA
"BIHAR",1962,48,"RANCHI EAST","GEN",373768,3,0,NA,NA,NA
"BIHAR",1962,49,"JAMSHEDPUR","GEN",435297,3,0,NA,NA,NA
"BIHAR",1962,50,"SINGHBHUM","ST",413797,3,0,NA,NA,NA
"BIHAR",1962,51,"RANCHI WEST","ST",421139,3,0,NA,NA,NA
"BIHAR",1962,52,"LOHARDAGA","ST",368021,3,0,NA,NA,NA
"BIHAR",1962,53,"PALAMAU","GEN",386107,3,0,NA,NA,NA
"DELHI",1962,1,"NEW DELHI","GEN",268661,3,0,NA,NA,NA
"DELHI",1962,2,"CHANDNI CHOWK","GEN",201891,3,0,NA,NA,NA
"DELHI",1962,3,"DELHI SADAR","GEN",234520,3,0,NA,NA,NA
"DELHI",1962,4,"KAROL BAGH","SC",308688,3,0,NA,NA,NA
"DELHI",1962,5,"OUTER DELHI","GEN",331600,3,0,NA,NA,NA
"GUJARAT",1962,1,"KUTCH","GEN",408740,3,0,NA,NA,NA
"GUJARAT",1962,2,"SURENDRANAGAR","GEN",437334,3,0,NA,NA,NA
"GUJARAT",1962,3,"RAJKOT","GEN",390228,3,0,NA,NA,NA
"GUJARAT",1962,4,"JAMNAGAR","GEN",426809,3,0,NA,NA,NA
"GUJARAT",1962,5,"JUNAGADH","GEN",423066,3,0,NA,NA,NA
"GUJARAT",1962,6,"AMRELI","GEN",418212,3,0,NA,NA,NA
"GUJARAT",1962,7,"BHAVNAGAR","GEN",448886,3,0,NA,NA,NA
"GUJARAT",1962,8,"BANASKANTHA","GEN",441054,3,0,NA,NA,NA
"GUJARAT",1962,9,"SABARKANTHA","GEN",417575,3,0,NA,NA,NA
"GUJARAT",1962,10,"MEHSANA","GEN",446979,3,0,NA,NA,NA
"GUJARAT",1962,11,"PATAN","GEN",389956,3,0,NA,NA,NA
"GUJARAT",1962,12,"AHMEDABAD","GEN",433392,3,0,NA,NA,NA
"GUJARAT",1962,13,"SABARMATI","SC",454460,3,0,NA,NA,NA
"GUJARAT",1962,14,"ANAND","GEN",472873,3,0,NA,NA,NA
"GUJARAT",1962,15,"KAIRA","GEN",436539,3,0,NA,NA,NA
"GUJARAT",1962,16,"PANCHMAHALS","GEN",408271,3,0,NA,NA,NA
"GUJARAT",1962,17,"DOHAD","SC",443761,3,0,NA,NA,NA
"GUJARAT",1962,18,"BARODA","GEN",446026,3,0,NA,NA,NA
"GUJARAT",1962,19,"BROACH","GEN",429499,3,0,NA,NA,NA
"GUJARAT",1962,20,"MANDVI","ST",462461,3,0,NA,NA,NA
"GUJARAT",1962,21,"SURAT","GEN",417377,3,0,NA,NA,NA
"GUJARAT",1962,22,"BULSAR","ST",471481,3,0,NA,NA,NA
"HIMACHAL_PRADESH",1962,1,"CHAMBA","GEN",81428,3,0,NA,NA,NA
"HIMACHAL_PRADESH",1962,2,"MANDI","GEN",93127,3,0,NA,NA,NA
"HIMACHAL_PRADESH",1962,3,"MAHASU","GEN",60883,3,0,NA,NA,NA
"HIMACHAL_PRADESH",1962,4,"SIRMUR","SC",76158,3,0,NA,NA,NA
"KERALA",1962,1,"KASERGOD","GEN",460358,3,0,NA,NA,NA
"KERALA",1962,2,"TELLICHERRY","GEN",501672,3,0,NA,NA,NA
"KERALA",1962,3,"BADAGARA","GEN",463498,3,0,NA,NA,NA
"KERALA",1962,4,"KOZHIKODE","GEN",434064,3,0,NA,NA,NA
"KERALA",1962,5,"MANJERI","GEN",431863,3,0,NA,NA,NA
"KERALA",1962,6,"PALGHAT","SC",417640,3,0,NA,NA,NA
"KERALA",1962,7,"POONANI","GEN",411076,3,0,NA,NA,NA
"KERALA",1962,8,"TRICHUR","GEN",438212,3,0,NA,NA,NA
"KERALA",1962,9,"MUKUNDAPURAM","GEN",457338,3,0,NA,NA,NA
"KERALA",1962,10,"ERNAKULAM","GEN",455280,3,0,NA,NA,NA
"KERALA",1962,11,"MUVATTUPUZHA","GEN",467654,3,0,NA,NA,NA
"KERALA",1962,12,"KOTTAYAM","GEN",409662,3,0,NA,NA,NA
"KERALA",1962,13,"AMBALAPUZHA","GEN",445802,3,0,NA,NA,NA
"KERALA",1962,14,"THIRUVALLA","GEN",436674,3,0,NA,NA,NA
"KERALA",1962,15,"MAVILEKARA","SC",422829,3,0,NA,NA,NA
"KERALA",1962,16,"QULLON","GEN",442109,3,0,NA,NA,NA
"KERALA",1962,17,"CHIRAYINKIL","GEN",437189,3,0,NA,NA,NA
"KERALA",1962,18,"TRIVANDURAM","GEN",470222,3,0,NA,NA,NA
"MADHYA_PRADESH",1962,1,"BHIND","SC",467201,3,0,NA,NA,NA
"MADHYA_PRADESH",1962,2,"GWALIOR","GEN",431098,3,0,NA,NA,NA
"MADHYA_PRADESH",1962,3,"SHIVPURI","GEN",441893,3,0,NA,NA,NA
